,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
2,95.0,5.0,3.0,39.38,3.3333333333333335,13.126666666666667
3,5.0,84.0,1.0,58.5,3.0,19.5
4,84.0,95.0,1.0,76.73,7.0,10.961428571428572
5,5.0,33.0,1.0,114.67,10.0,11.467
6,33.0,22.0,4.0,24.53,6.5,4.088333333333334
7,33.0,96.0,2.0,148.12,13.5,12.343333333333334
8,96.0,66.0,2.0,64.72,3208.5,4.622857142857143
9,33.0,95.0,1.0,153.3,13.0,11.792307692307693
10,5.0,88.0,1.0,91.38,3.0,30.459999999999997
11,95.0,13.0,1.0,76.05,2.0,38.025
0,98362.0,75584.0,184.0,11.4,14.206521739130435,22.8
1,98362.0,120.0,5.0,22.92,6751.0,7.640000000000001
2,98362.0,33.0,11.0,84.23,2.6363636363636362,168.46
3,33.0,75584.0,1.0,73.33,3.0,24.44333333333333
4,120.0,75584.0,1.0,28.56,9641.0,0.00296234830411783
0,32.0,99.0,6.0,27.73,19.833333333333332,55.46
1,32.0,5.0,6.0,48.84,56.5,5.426666666666667
2,32.0,120.0,2.0,54.21,6.5,13.5525
3,32.0,33.0,1.0,74.92,273.0,0.2744322344322344
4,33.0,96.0,1.0,148.12,26.0,5.696923076923077
0,80412.0,25509.0,36.0,24.35,1179.0833333333333,24.35
0,68177.0,84.0,18.0,48.13,7.111111111111111,48.13
1,68177.0,32.0,2.0,40.08,28.5,6.68
0,79368.0,33.0,28.0,47.52,1679.392857142857,11.88
0,16834.0,86645.0,18.0,18.11,24.0,9.055
1,16834.0,32.0,12.0,30.27,782.5,30.27
2,16834.0,95.0,2.0,91.61,6.5,45.805
3,32.0,86645.0,2.0,47.43,1210.5,3.9525
0,61520.0,26129.0,20.0,52.24,90.95,52.24
0,91019.0,61520.0,60.0,55.73,5.65,111.46
0,14665.0,87360.0,23.0,40.22,6.913043478260869,13.406666666666666
1,14665.0,88.0,10.0,76.81,9.7,38.405
2,88.0,87360.0,6.0,105.81,1.5,211.62
3,14665.0,84.0,19.0,55.56,10.947368421052632,111.12
4,87360.0,84.0,5.0,68.29,16.6,11.381666666666668
5,88.0,84.0,2.0,126.06,3.5,126.06
