m,trajs
"7.6-204,129,42,183,42,73+29","[[3007, 3], [3006, 2], [2926, 0], [2926, 2], [2846, 0], [2846, 2], [2766, 2], [2686, 0], [2686, 2], [2606, 4], [2607, 2], [2527, 0], [2527, 2], [2447, 3], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 3], [2363, 2], [2283, 3], [2282, 2], [2202, 0], [2202, 3], [2201, 2], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3]]"
"7.6-204,129,42,183,42,73+30",[]
"7.6-204,129,42,183,42,73+31",[]
"7.6-204,129,42,183,42,73+32","[[3007, 2], [2927, 3], [2926, 0], [2926, 2], [2846, 0], [2846, 2], [2766, 2], [2686, 0], [2686, 2], [2606, 4], [2607, 2], [2527, 0], [2527, 2], [2447, 3], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 3], [2363, 2], [2283, 3], [2282, 2], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 2], [2040, 3], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 2], [1878, 4], [1879, 0], [1879, 4], [1880, 2], [1800, 0], [1800, 2], [1720, 4], [1721, 2]]"
"7.6-204,129,42,183,42,73+33",[]
"7.6-204,129,42,183,42,73+34",[]
"7.6-204,129,42,183,42,73+35",[]
"7.6-204,129,42,183,42,73+36",[]
"7.6-204,129,42,183,42,73+37",[]
"7.6-204,129,42,183,42,73+38",[]
"7.6-204,129,42,183,42,73+39",[]
"7.6-204,129,42,183,42,73+40",[]
"7.6-204,129,42,183,42,73+41",[]
"7.6-204,129,42,183,42,73+42",[]
"7.6-204,129,42,183,42,73+43","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 3], [1799, 1], [1879, 0], [1879, 1], [1959, 3], [1958, 1]]"
"7.6-204,129,42,183,42,73+44",[]
"7.6-204,129,42,183,42,73+45",[]
"7.6-204,129,42,183,42,73+46","[[3007, 3], [3006, 2], [2926, 0], [2926, 2], [2846, 0], [2846, 2], [2766, 2], [2686, 0], [2686, 2], [2606, 2], [2526, 4], [2527, 0], [2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 2], [2284, 3], [2283, 2], [2203, 3], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 2], [2040, 3], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 2], [1878, 4], [1879, 0], [1879, 4], [1880, 2], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]"
