cluster_num,noise_num,dbcv,silhouette,calinski,eps,min_samples
4,390,-0.3483887470446597,0.49317953726294195,370.22754142059824,0.54,13
7,438,-0.4680609663567216,0.5050016886050147,360.50583122287975,0.54,14
12,120,-0.6158316380692687,0.20770289492185073,63.689355274234494,0.56,5
14,151,-0.5672879627230607,0.1747619840068608,87.21261270785934,0.56,6
11,194,-0.5048225606524444,0.34477132032319224,304.5937713734871,0.56,7
8,239,-0.4831786079563029,0.3891119505582899,313.37207883955125,0.56,8
8,256,-0.4593263326609785,0.36966183183520873,285.3902653767394,0.56,9
8,287,-0.4386520416405004,0.38391355782291986,277.080988140665,0.56,10
5,329,-0.3229761462131468,0.37450106698322966,367.9034024712439,0.56,11
5,345,-0.33133093180658824,0.3391067653612171,346.95619847533123,0.56,12
5,350,-0.33269293795117055,0.33293955936579117,346.24522218842105,0.56,13
7,385,-0.537508160344174,0.4240612960315119,389.0145949615226,0.56,14
10,116,-0.6297128698742485,0.1815112394853633,63.273086186479915,0.58,5
13,135,-0.5849789133994299,0.1715516368327529,75.38424850031211,0.58,6
8,179,-0.5979387502203317,0.1671731194462504,90.10641233018913,0.58,7
9,213,-0.4851863069635093,0.41710111757573753,324.8013814402599,0.58,8
8,239,-0.4669821659161889,0.38589036494679135,313.1768680622706,0.58,9
8,260,-0.4560760319461453,0.37541929895367837,282.07631388781226,0.58,10
6,298,-0.3576989050209377,0.38156162680573186,361.8813971519766,0.58,11
5,319,-0.3397129041108672,0.3731020791607451,376.5538005757957,0.58,12
6,327,-0.3619767020865527,0.34168892831797765,305.1847830731162,0.58,13
4,359,-0.3420966410910633,0.501315236415547,429.46304358529466,0.58,14
8,106,-0.5992154845103062,0.06191966165336188,37.35927934907807,0.6,5
10,126,-0.5592233670539174,0.07701133482335284,40.80714080221283,0.6,6
7,166,-0.5376886906051274,0.08919341219091742,52.675732878191106,0.6,7
7,188,-0.5843697779371256,0.1618568187180451,90.88753308108399,0.6,8
8,210,-0.476220753377804,0.3806930089710845,323.0867117887103,0.6,9
7,238,-0.4764927239170496,0.3692716721746162,340.78356643248236,0.6,10
7,272,-0.4212158741553782,0.3936113705612494,340.96581312145236,0.6,11
5,304,-0.32205019148657105,0.36793557167101454,382.58182164663094,0.6,12
6,310,-0.3417778541247427,0.33594112115140795,311.0530920907753,0.6,13
4,343,-0.35906134340275464,0.4982024035920488,442.8300136956536,0.6,14
7,92,-0.6144772027949611,0.04809699917088583,40.628061536234306,0.62,5
