mac,数据量,平均活跃时刻,移动距离,中间时刻,持续时间,id,cluster
"7.15-64,140,31,142,167,149",2.0,2.931728554404284,0.0,1.790358219498772,6.092607447191899,1,2
"7.15-156,95,90,12,124,73",0.631578947368421,2.322384421612708,0.0,1.9051921702630994,6.2541996535649105,1,2
"7.15-48,74,38,133,29,213",0.8421052631578947,2.717050782077561,0.0,1.8283897782998328,6.144572710680198,1,2
"7.15-156,116,3,130,126,7",2.526315789473684,3.4452963446487654,0.0,1.8821103818762785,6.191074065032143,1,2
"7.15-132,65,103,218,221,212",0.9473684210526316,3.0971953571813557,0.0,1.876278328582811,6.15143166044711,1,2
"7.15-84,167,3,191,88,22",2.4210526315789473,1.2184444729908586,2.114009631149982,1.0426232739997212,4.947162836117601,1,2
"7.15-144,120,65,31,69,55",2.0,1.9237523846641782,0.7953837175603734,1.925809710779442,6.195724200467337,1,2
"7.15-76,213,119,170,111,119",1.7894736842105263,3.311791113167172,1.1121874143974972,1.9991621557240369,6.116090631139631,1,2
"7.15-184,55,101,29,72,107",6.315789473684211,4.802470696020037,3.624821847545168,1.9966157662578752,6.063892860879573,1,2
"7.15-8,250,121,45,167,67",4.526315789473684,2.344583436928315,3.13715059291519,2.005815624974331,5.935781629639962,1,2
"7.15-164,80,70,27,140,33",2.736842105263158,2.8895574680820353,0.34530808961018855,2.2839470679557423,5.654215929038933,1,2
"7.15-136,191,228,175,202,9",2.0,1.9090593435912828,2.4110031720069394,2.413648647538627,4.677803741033958,1,2
"7.15-156,116,3,24,100,145",0.8421052631578947,2.3151101313764917,0.7489747549535314,1.7303948546504464,3.1837152257059484,1,2
"7.15-172,115,82,76,172,89",2.736842105263158,3.1623006886593643,2.3266015856064732,3.174772673133948,4.460409909438613,1,2
"7.15-24,208,197,242,97,13",1.4736842105263157,2.267318891551601,3.041672787038838,1.6800420564969891,1.8443599669840383,1,2
"7.18-8,250,121,45,167,67",1.263157894736842,5.694147960639401,0.9044388247297442,4.556805020494328,9.98302700566154,1,0
"7.18-184,148,54,32,44,55",2.736842105263158,5.3386042946534795,0.8605309439400376,4.556805020494328,9.98302700566154,1,0
"7.18-36,17,69,161,50,93",0.42105263157894735,5.371422446631468,0.0,4.557872861238202,9.984538299677979,1,0
"7.18-48,74,38,133,29,213",0.9473684210526316,5.3924867327584245,0.31267492685328185,4.558940701982076,9.986049593694414,1,0
"7.18-156,95,90,12,124,73",0.8421052631578947,6.375743829751567,0.0,5.98467237824562,7.397202943535728,1,0
"7.18-196,64,246,34,203,41",2.1052631578947367,5.704172229610489,1.5124002048505107,4.174600175783016,3.710110556969971,1,1
"7.18-164,201,57,9,43,253",0.5263157894736842,4.516366393588479,0.0,4.3434011549108344,3.6597728408839902,1,2
"7.18-112,138,9,131,175,199",0.7368421052631579,6.791131898347988,0.0,7.214003499231977,6.216766063311593,1,1
"7.18-132,27,119,107,15,168",2.8421052631578947,4.175343729598292,1.8030814915975562,4.0582876762964,1.7147374417279904,1,2
"7.18-152,34,239,8,233,105",2.2105263157894735,6.812791901379666,0.476436236308562,7.510534659646297,5.8082516653297525,1,1
"7.18-140,52,1,175,121,255",0.7368421052631579,5.221831231414075,0.0,6.7308466334267,3.850079633569327,1,1
"7.18-172,115,82,76,172,89",2.3157894736842106,5.66192374029664,1.8832352088800317,7.358408424442052,4.732907845941012,1,1
"7.18-108,250,167,124,18,1",0.10526315789473684,5.346378171104201,0.48123990138591693,5.3088113289688765,0.115323358792825,1,1
"7.19-64,140,31,142,167,149",5.894736842105263,5.067996117374953,0.0,4.550151551244035,9.99895371952708,1,0
"7.19-20,94,105,93,76,199",0.7368421052631579,3.128646060908926,0.42319892334382725,4.453306609934205,9.86189097757472,1,0
"7.19-184,148,54,32,44,55",4.421052631578947,7.539153392230675,2.6858045742007457,4.5528622239015615,9.997209918738882,1,0
"7.19-36,17,69,161,50,93",0.21052631578947367,5.418685827657227,0.3019163050684621,4.5441552147592015,9.984422046292096,1,0
"7.19-112,138,9,131,175,199",0.7368421052631579,5.110063462841682,0.0,4.540048134975071,9.960008835257327,1,0
"7.19-112,58,81,118,159,27",1.0526315789473684,7.155666537721581,0.0,4.413139369645394,9.611829944547134,1,0
"7.19-204,129,42,183,42,73",0.8421052631578947,5.286445661989544,0.0,4.568469127081261,9.788651344470408,1,0
"7.19-208,151,254,41,36,198",3.894736842105263,8.448498892837208,0.5253859804439223,5.570432311218079,8.555202920285051,1,0
"7.19-228,163,47,85,234,94",1.0526315789473684,6.031944089948991,2.404532119051495,6.3593201961541315,6.3363907973819735,1,1
"7.19-48,123,172,71,160,113",1.0526315789473684,5.206804497108001,3.077680425263308,5.885856038639407,5.207802927260255,1,1
"7.19-164,20,178,229,137,47",0.631578947368421,6.675025807076315,2.7234002008805405,6.99148191652771,6.291516990432346,1,1
"7.19-208,110,152,171,43,95",0.8421052631578947,3.1686485991829345,3.1324660269719846,3.075217059166591,0.6479963728943614,1,2
"7.19-48,74,38,155,214,98",1.0526315789473684,7.249780288913529,4.358710712173123,6.417230021110391,4.882642206954277,1,1
"7.19-48,148,53,197,58,225",1.0526315789473684,8.043678753436525,1.1292979900036129,7.398247098348132,5.834873690696241,1,1
"7.19-48,236,165,220,64,63",0.631578947368421,6.347934387492548,2.1308423087764155,6.688543711650141,1.9724711982236474,1,1
"7.20-252,107,240,89,142,53",0.42105263157894735,3.7866470536612336,0.0,4.42201066197912,9.817598437554494,1,0
"7.20-20,153,226,219,38,57",0.7368421052631579,0.7392178670440344,0.2516167707460767,0.20477899803681557,3.8202025133982027,1,2
"7.20-220,240,144,185,104,48",2.8421052631578947,3.0143819199601456,0.48123990138591693,4.43416761814015,9.700880038131107,1,0
"7.20-24,208,197,242,97,13",2.4210526315789473,6.184955825955498,2.4392693665117053,4.429321263994874,8.713772538625186,1,0
"7.20-8,250,121,183,224,101",0.9473684210526316,4.196560331786932,0.7554458079089765,5.3309895598031884,8.443018402910983,1,0
"7.20-28,209,7,152,33,91",0.9473684210526316,5.3692530411855754,0.0,5.466441051083858,8.342226717353142,1,0
"7.20-156,245,49,209,69,163",0.5263157894736842,5.552751788913986,0.22080979471279244,4.061244773740975,6.265127471837616,1,0
"7.20-208,151,254,41,36,198",0.631578947368421,7.494574093599631,0.0,5.7737327605326065,7.907322800776571,1,0
"7.20-76,24,154,44,218,251",0.5263157894736842,4.865967454235516,1.8351588583950995,6.396037489424269,5.74105720829119,1,1
"7.20-124,161,119,225,7,54",1.0526315789473684,6.6919705934062215,0.0,6.841819929193944,6.2624536439623775,1,1
"7.20-140,52,1,175,121,255",0.5263157894736842,3.2406214333442436,1.217947445522071,3.0674957491724224,0.4006091677420114,1,2
"7.20-164,125,159,153,152,74",0.7368421052631579,5.300151710959922,2.000905153419535,6.368027205296489,4.405654564689196,1,1
"7.20-164,125,159,153,152,107",0.5263157894736842,5.702476463757543,1.7116927559936643,5.597456896197665,2.997012287982886,1,1
"7.20-64,69,218,104,146,86",1.0526315789473684,7.271238602722248,1.72419816507934,7.391018637928059,3.5490996175263594,1,1
"7.20-164,201,57,205,13,69",2.9473684210526314,9.266003591753272,0.934610605380899,9.49055782357628,2.636045524825911,1,1
"7.20-180,32,91,132,237,189",0.5263157894736842,9.684779896546093,0.3181931867355325,9.867259181376857,1.7057859310152406,1,1
"7.21-20,178,229,137,47,142",1.0526315789473684,9.14920776866347,2.554716127213755,9.299167905635734,3.1361675908810844,1,1
"7.21-164,125,159,153,152,106",0.9473684210526316,9.498263203773334,3.9936321662941516,9.663794448870961,2.7466024947976586,1,1
"7.22-20,178,229,137,47,142",1.6842105263157894,1.8795960032296248,0.0,3.328541740251846,8.197723758704473,1,0
"7.22-156,245,49,209,69,163",3.1578947368421053,5.893548325464261,3.0707329757712665,3.3420951035394815,7.974168497657495,1,0
"7.22-8,74,207,99,147,223",0.8421052631578947,5.6642008121614875,0.5680631701807528,3.8857903253628603,7.3806949627407885,1,0
"7.22-164,125,159,153,144,106",0.9473684210526316,5.802722217937689,2.232592669051296,3.5131139057507332,6.853253351003849,1,0
"7.22-132,65,103,218,221,212",1.0526315789473684,5.067715823589289,0.0,4.113322545403767,6.765947058208068,1,0
"7.22-164,201,57,205,13,69",4.105263157894737,4.755146535027356,5.374229329352777,3.604866068128239,5.645496925097941,1,2
"7.22-124,161,119,225,7,54",0.7368421052631579,5.7439318795705665,0.0,5.9535407134819,4.341715202455271,1,1
"7.22-136,3,233,226,168,73",0.42105263157894735,4.152644974963239,0.23446649542857825,4.950263263814161,2.869482323672676,1,2
"7.22-48,148,53,197,58,225",0.7368421052631579,7.663637110991347,0.0,7.430693028642774,2.395052255896954,1,1
"7.24-20,178,229,137,47,142",1.7894736842105263,5.473231820382363,0.0,4.550562259222449,9.998604959369441,1,0
"7.24-28,123,35,129,140,184",1.0526315789473684,3.5506106714566994,0.0,3.136412547950156,7.53380067194457,1,0
"7.24-172,115,82,76,172,89",2.736842105263158,5.504851771192732,2.1812212425215667,4.957984573808331,9.4191980841442,1,0
"7.24-240,98,90,159,90,25",3.473684210526316,7.552921031123723,0.45023442679571724,4.795672780739439,8.97673769748544,1,0
"7.24-48,69,150,180,24,101",2.9473684210526314,4.429542960844533,0.0,4.971784361883015,8.931398876992292,1,0
"7.24-8,74,207,99,147,223",3.1578947368421053,5.120087630508001,6.14476102758733,4.942952661798409,8.826654576314533,1,0
"7.24-220,109,205,125,41,209",0.10526315789473684,5.189368138478424,0.0,5.190034581611781,9.093804857066461,1,0
