wifi_a,wifi_b,count,distance,meanTime,maxSpeed
27281.0,39298.0,2.0,19.85,16.0,1.417857142857143
39298.0,32.0,2.0,62.63,6.5,10.438333333333334
27281.0,37793.0,5.0,27.2,32.8,13.6
37793.0,18911.0,1.0,6.71,301.0,0.022292358803986712
18911.0,27887.0,5.0,5.39,5.8,2.695
27887.0,37793.0,2.0,12.08,6.5,2.013333333333333
27887.0,31476.0,3.0,16.64,5.333333333333333,5.546666666666667
31476.0,32.0,6.0,66.64,5.833333333333333,66.64
31476.0,99.0,6.0,44.59,21.333333333333332,22.295
99.0,22.0,8.0,64.39,14.625,10.731666666666667
99.0,32.0,2.0,27.73,6.5,5.546
99.0,120.0,4.0,40.56,123.5,4.056
31476.0,22.0,2.0,23.61,9.5,7.87
95.0,82280.0,1.0,23.42,3.0,7.8066666666666675
82280.0,43686.0,1.0,4.47,31582.0,0.00014153631815591158
43686.0,13.0,2.0,89.38,4.5,178.76
43686.0,6945.0,1.0,5.83,36400.0,0.00016016483516483518
6945.0,95.0,1.0,13.16,3733.0,0.0035253147602464507
95.0,43686.0,1.0,18.98,399.0,0.04756892230576441
95.0,94921.0,1.0,7.2,26.0,0.27692307692307694
94921.0,17821.0,1.0,36.67,4.0,9.1675
17821.0,29790.0,1.0,53.45,60859.0,0.0008782595836277297
29790.0,99.0,2.0,37.2,54.5,1.7714285714285716
95.0,55866.0,1.0,46.84,0.0,93.68
55866.0,97140.0,2.0,6.4,1.5,6.4
55866.0,97266.0,1.0,6.0,2545.0,0.002357563850687623
97266.0,13.0,1.0,128.58,4986.0,0.025788206979542722
13.0,79915.0,3.0,114.94,1.6666666666666667,229.88
79915.0,120.0,6.0,79.39,2.0,79.39
79915.0,67929.0,1.0,24.02,4.0,6.005
67929.0,29271.0,3.0,65.86,1.0,131.72
29271.0,36856.0,1.0,65.8,5.0,13.16
36856.0,99.0,2.0,64.13,1609.0,128.26
36856.0,76769.0,1.0,20.62,3733.0,0.005523707473881597
76769.0,95.0,1.0,53.38,0.0,106.76
95.0,36856.0,1.0,44.59,6958.0,0.006408450704225353
5.0,21242.0,1.0,29.56,4.0,7.39
21242.0,54935.0,1.0,59.0,8.0,7.375
54935.0,33682.0,1.0,30.89,8042.0,0.003841084307386222
33682.0,17007.0,5.0,26.08,12.4,6.52
17007.0,54935.0,7.0,41.59,15.0,6.9316666666666675
17007.0,99.0,3.0,37.49,9.333333333333334,74.98
99.0,54935.0,1.0,75.94,1.0,75.94
54935.0,68088.0,1.0,23.02,2985.0,0.007711892797319933
68088.0,99.0,2.0,75.7,10760.5,0.02495878667985493
17007.0,68088.0,1.0,38.21,7813.0,0.004890567003711763
13.0,96727.0,1.0,42.11,39.0,1.0797435897435896
96727.0,46335.0,1.0,28.44,15582.0,0.0018251829033500194
46335.0,78752.0,1.0,45.12,50619.0,0.0008913649025069638
49.0,25183.0,1.0,49.18,175.0,0.2810285714285714
25183.0,9957.0,8.0,44.91,492.5,22.455
25183.0,13.0,2.0,97.28,3.0,97.28
5.0,95.0,2.0,39.38,13.0,4.375555555555556
5.0,84.0,7.0,58.5,7.0,29.25
