wifi_a,wifi_b,count,distance,meanTime,maxSpeed
5.0,22.0,9.0,121.22,3682.6666666666665,60.61
22.0,88.0,2.0,202.54,3.0,67.51333333333334
88.0,95.0,2.0,53.3,2.0,26.65
22.0,95.0,5.0,157.9,4875.0,39.475
22.0,33.0,25.0,24.53,10.76,8.176666666666668
33.0,120.0,1.0,88.04,2.0,44.02
120.0,22.0,1.0,86.98,2.0,43.49
22.0,32.0,3.0,88.88,648.6666666666666,29.626666666666665
32.0,95.0,2.0,87.51,263.0,29.17
95.0,33.0,1.0,153.3,3.0,51.1
33.0,5.0,2.0,114.67,2.0,57.335
32.0,33.0,1.0,74.92,6.0,12.486666666666666
32.0,99.0,2.0,27.73,6.5,5.546
32.0,5.0,3.0,48.84,7.333333333333333,9.768
32.0,84.0,3.0,57.42,14.666666666666666,14.355
5.0,84.0,1.0,58.5,1.0,58.5
5.0,13.0,1.0,114.24,2.0,57.12
13.0,22.0,1.0,223.94,2.0,111.97
95.0,99.0,1.0,97.82,288.0,0.33965277777777775
99.0,5.0,1.0,59.06,3.0,19.686666666666667
95.0,88.0,378.0,53.3,5.515873015873016,106.6
95.0,5.0,675.0,39.38,6.1466666666666665,78.76
5.0,22.0,154.0,121.22,3.9220779220779223,60.61
22.0,95.0,186.0,157.9,5.440860215053763,315.8
5.0,88.0,59.0,91.38,953.1694915254237,45.69
22.0,88.0,62.0,202.54,2.3870967741935485,202.54
95.0,13.0,39.0,76.05,6.051282051282051,25.349999999999998
5.0,13.0,25.0,114.24,0.88,228.48
13.0,88.0,7.0,22.87,3.857142857142857,7.623333333333334
95.0,99.0,4.0,97.82,4.0,97.82
99.0,5.0,1.0,59.06,3.0,19.686666666666667
13.0,22.0,16.0,223.94,3.0,447.88
99.0,13.0,1.0,169.72,3.0,56.57333333333333
5.0,99.0,21.0,59.06,8.047619047619047,29.53
5.0,88.0,3.0,91.38,10.666666666666666,15.229999999999999
5.0,84.0,21.0,58.5,15.619047619047619,117.0
84.0,22.0,2.0,146.05,2.0,73.025
22.0,88.0,1.0,202.54,3.0,67.51333333333334
88.0,95.0,2.0,53.3,2.5,26.65
95.0,5.0,9.0,39.38,6.222222222222222,9.845
95.0,99.0,3.0,97.82,2.6666666666666665,48.91
5.0,22.0,9.0,121.22,13.11111111111111,60.61
22.0,95.0,2.0,157.9,5.5,31.580000000000002
99.0,84.0,3.0,84.36,2.0,42.18
5.0,120.0,1.0,44.14,0.0,88.28
120.0,99.0,1.0,40.56,5739.0,0.007067433350757972
5.0,99.0,383.0,59.06,6.323759791122716,59.06
5.0,49.0,231.0,73.03,12.658008658008658,146.06
49.0,22.0,85.0,190.46,15.764705882352942,63.48666666666667
22.0,95.0,462.0,157.9,6.409090909090909,315.8
95.0,99.0,252.0,97.82,11.833333333333334,97.82
99.0,49.0,109.0,126.11,14.770642201834862,252.22
5.0,95.0,479.0,39.38,11.215031315240083,78.76
5.0,22.0,522.0,121.22,5.243295019157088,60.61
95.0,49.0,254.0,55.08,13.807086614173228,110.16
22.0,99.0,72.0,64.39,9.48611111111111,16.0975
49.0,84.0,4.0,60.58,6.5,20.19333333333333
84.0,99.0,2.0,84.36,22.0,10.545
95.0,84.0,5.0,76.73,7.6,19.1825
84.0,5.0,4.0,58.5,21.0,11.7
22.0,84.0,1.0,146.05,9.0,16.227777777777778
95.0,5.0,360.0,39.38,12.883333333333333,13.126666666666667
5.0,49.0,261.0,73.03,13.210727969348659,146.06
49.0,95.0,492.0,55.08,16.380081300813007,55.08
95.0,88.0,12.0,53.3,37.5,53.3
88.0,99.0,1.0,147.2,43.0,3.4232558139534883
99.0,5.0,8.0,59.06,5.625,29.53
49.0,88.0,6.0,82.73,24.333333333333332,11.81857142857143
88.0,5.0,7.0,91.38,17.285714285714285,18.276
95.0,99.0,15.0,97.82,4.2,195.64
5.0,92.0,1.0,160.5,0.0,321.0
92.0,49.0,1.0,211.31,26.0,8.127307692307692
99.0,49.0,4.0,126.11,4.0,63.055
95.0,92.0,2.0,156.67,13.0,31.333999999999996
99.0,22.0,494.0,64.39,21.781376518218625,32.195
99.0,120.0,12.0,40.56,27.416666666666668,40.56
120.0,22.0,10.0,86.98,64.8,28.993333333333336
99.0,32.0,3.0,27.73,17.333333333333332,55.46
32.0,22.0,1.0,88.88,6.0,14.813333333333333
32.0,95.0,46.0,87.51,44.0,175.02
95.0,88.0,24.0,53.3,13.958333333333334,106.6
88.0,32.0,30.0,140.16,46.43333333333333,280.32
32.0,22.0,56.0,88.88,49.05357142857143,88.88
22.0,99.0,37.0,64.39,13.216216216216216,12.878
99.0,32.0,37.0,27.73,38.486486486486484,55.46
22.0,95.0,35.0,157.9,22.17142857142857,315.8
95.0,99.0,26.0,97.82,109.6923076923077,97.82
88.0,22.0,13.0,202.54,7.846153846153846,101.27
99.0,5.0,10.0,59.06,47.1,29.53
5.0,32.0,46.0,48.84,51.608695652173914,24.42
5.0,22.0,24.0,121.22,23.5,60.61
99.0,88.0,5.0,147.2,17.2,29.439999999999998
95.0,5.0,6.0,39.38,12.0,9.845
5.0,88.0,4.0,91.38,28.25,18.276
95.0,120.0,1.0,73.6,2.0,36.8
120.0,99.0,1.0,40.56,2.0,20.28
88.0,95.0,295.0,53.3,36.82372881355932,106.6
95.0,13.0,1.0,76.05,32.0,2.3765625
13.0,88.0,2.0,22.87,6.0,3.811666666666667
95.0,5.0,1.0,39.38,5.0,7.876
5.0,13.0,1.0,114.24,235.0,0.4861276595744681
95.0,99.0,2.0,97.82,6.5,48.91
95.0,22.0,1.0,157.9,517.0,0.3054158607350097
13.0,95.0,46.0,76.05,54.34782608695652,76.05
95.0,5.0,8.0,39.38,4.625,19.69
5.0,13.0,18.0,114.24,106.83333333333333,28.56
13.0,88.0,62.0,22.87,954.3064516129032,22.87
88.0,95.0,16.0,53.3,21.5,106.6
88.0,5.0,2.0,91.38,6.5,15.229999999999999
95.0,84.0,10.0,76.73,117.6,15.346
95.0,5.0,47.0,39.38,154.89361702127658,9.845
95.0,99.0,10.0,97.82,62.9,48.91
99.0,5.0,3.0,59.06,5.666666666666667,19.686666666666667
99.0,84.0,1.0,84.36,81.0,1.0414814814814815
84.0,5.0,5.0,58.5,268.0,0.6428571428571429
95.0,22.0,4.0,157.9,293.75,19.7375
22.0,5.0,2.0,121.22,9.0,13.46888888888889
5.0,49.0,1.0,73.03,56648.0,0.0012891893800310692
49.0,95.0,1.0,55.08,184.0,0.29934782608695654
88.0,95.0,30.0,53.3,86.6,53.3
95.0,13.0,13.0,76.05,7.615384615384615,12.674999999999999
95.0,5.0,12.0,39.38,70.41666666666667,9.845
5.0,13.0,5.0,114.24,1.0,228.48
95.0,49.0,3.0,55.08,1.3333333333333333,55.08
49.0,5.0,1.0,73.03,2.0,36.515
95.0,99.0,3.0,97.82,2.0,97.82
99.0,5.0,4.0,59.06,2.25,59.06
5.0,22.0,2.0,121.22,3.5,40.406666666666666
22.0,95.0,1.0,157.9,5.0,31.580000000000002
22.0,32.0,1.0,88.88,1.0,88.88
32.0,5.0,1.0,48.84,35.0,1.3954285714285715
95.0,92.0,2.0,156.67,96.0,78.335
88.0,13.0,5.0,22.87,11.6,3.811666666666667
5.0,88.0,6.0,91.38,12.833333333333334,15.229999999999999
