wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
61216,355.0,239.0,49:13,1_virtual,347.233413,231.469558,45845:71624:,1
76205,379.0,137.0,88:92,1_virtual,380.058282,139.488144,1652:92951:62714:13776:59541:91725:17024:73566:,1
93266,306.0,215.0,88:84:5,1_virtual,303.920712,217.52695,29806:59287:60933:35603:33671:79654:69627:,1
24817,336.0,206.0,5:13:95,1_virtual,335.463536,209.477597,61649:39208:54094:82187:46992:43883:29748:52132:34277:91989:69494:98830:86982:96927:43375:30939:92466:12042:93713:90587:22987:66569:7327:42203:45159:27776:22793:,1
55914,226.0,179.0,105:49,1_virtual,222.647682,180.401024,12406:34065:,1
74867,211.0,123.0,120:105,1_virtual,211.571835,116.146512,45024:60297:51820:33677:9613:15280:66667:69131:16211:12927:52598:6253:33328:,1
81533,328.0,181.0,120:88,1_virtual,337.420496,188.10146,27548:32140:3484:3116:63074:79155:24009:67535:3116:52562:20013:5155:4108:77394:55367:65107:4946:11585:85534:84753:72803:30779:50619:52223:5040:43537:41315:84669:27134:51541:41310:,1
69933,196.0,119.0,105:99:22,1_virtual,198.865557,118.312894,12358:85717:84014:76733:76209:30514:64068:64193:29914:92513:27778:36231:48958:29972:77130:7314:90301:33426:97115:85471:38126:28919:57221:93990:27006:76192:36652:24855:99109:10375:81331:94900:,1
75646,360.0,161.0,88:92:95,1_virtual,360.502469,163.990764,9951:82052:,1
92674,233.0,167.0,99:84:22,1_virtual,232.021775,166.358449,3348:16192:81693:29946:81693:92493:57763:86740:69420:74425:,1
84156,208.0,138.0,105:5:33,1_virtual,211.594265,141.393216,17871:71595:9888:68580:30577:84222:61790:99496:63451:,1
56206,275.0,224.0,32:49,1_virtual,272.510628,221.037662,60880:91555:,1
92821,38.0,37.0,96:66,1_virtual,35.470789,35.855953,N,1
14382,190.0,141.0,32:105,1_virtual,189.810638,140.720979,N,1
38321,264.0,219.0,2344:101,2_virtual,265.241779,218.679324,39967:12512:48641:,1
52367,307.0,231.0,9048:49,2_virtual,304.06843,229.590614,78490:19015:71362:,1
35213,300.0,209.0,49:83375,2_virtual,297.421106,215.606612,10243:86957:8522:63821:56150:88430:,1
48335,335.0,237.0,49:91020,2_virtual,333.435164,238.898196,10490:40629:,1
28385,331.0,191.0,41841:91020:83375,2_virtual,337.034725,194.273799,18802:95866:99842:17091:50549:30041:53203:74232:46858:1548:74232:56282:93910:95597:5056:16460:47777:26364:37670:94476:8083:37201:66604:10241:78883:73397:37452:86470:33936:9354:69396:39023:46858:93719:83560:96441:74451:68694:24190:70614:,1
45476,303.0,180.0,23449:91020,2_virtual,304.882234,179.464997,59814:86653:55489:5337:13369:86189:81545:92537:59814:72608:76056:4323:41414:96669:43442:84144:19540:,1
11404,289.0,175.0,23449:30620,2_virtual,295.605502,173.922491,11981:74729:14840:79085:65738:2360:29930:35483:88402:52354:86554:65263:20609:66783:2692:21057:92463:78838:78351:13074:9289:84501:99594:58304:63065:39945:99377:29958:41583:31508:91486:37650:,1
5451,266.0,196.0,13568:49,2_virtual,264.577206,200.838141,86258:68641:11571:71028:31844:24117:11571:,1
97720,299.0,243.0,49:59163,2_virtual,298.441172,243.817913,91156:62000:,1
82028,259.0,215.0,62572:82676,2_virtual,258.780579,213.445753,71402:20522:19373:35079:73242:75279:,1
13651,289.0,200.0,30620:62572,2_virtual,292.873077,204.893878,6431:19797:8091:87187:65662:19338:74834:6533:72906:64078:23378:48504:8091:39998:,1
69762,256.0,143.0,13568:83375,2_virtual,255.137437,140.235728,19501:55226:84266:4692:27402:28658:62486:88651:58486:,1
14657,261.0,200.0,13568:91297:82676,2_virtual,261.770066,199.201212,68107:86077:45797:,1
82106,234.0,164.0,13568:62572,2_virtual,234.422616,166.5628,87108:19141:89509:24328:66915:8050:14444:37988:53998:,1
23254,346.0,223.0,88:64102,2_virtual,346.41377,220.500919,22075:5789:14512:8272:68706:47453:40136:25437:77548:70342:24728:91131:12889:91751:4018:2422:89026:5081:80065:89149:,1
29992,311.0,217.0,9048:64102,2_virtual,307.61367,210.781147,45211:75655:30497:62327:60648:47499:35032:78268:76756:36099:,1
64018,293.0,191.0,79123:95,2_virtual,294.045902,186.563746,16482:36542:66612:81501:96794:40963:39944:14802:93326:7206:51593:50766:50024:4285:91786:17300:26622:18412:2322:19225:30320:12742:15375:94553:66607:77804:11505:73297:12675:8135:88059:26132:19852:83160:77740:45047:71579:50681:91833:89166:19584:52698:22741:4832:37585:82388:50409:23190:86853:20204:41108:,1
65385,297.0,223.0,49:2093,2_virtual,299.489077,219.407513,38220:2736:66869:7099:87002:94832:27657:,1
22615,294.0,251.0,51552:49,2_virtual,293.130126,249.97533,N,1
47881,236.0,182.0,51552:33,2_virtual,234.8195,180.374359,80535:,1
8228,277.0,211.0,49:8318,2_virtual,276.735225,213.986068,58380:18195:66364:,1
48921,298.0,175.0,2344:30620:83375,2_virtual,298.582565,174.489873,67082:54955:93301:4064:69480:59048:53735:35592:11093:,1
48339,341.0,216.0,88:50132,2_virtual,341.921345,209.633834,61527:9094:50219:87396:90603:67589:86651:58675:,1
54957,294.0,202.0,50132:13702,2_virtual,295.831338,199.530488,78986:43570:86716:36118:82013:18851:38971:2883:,1
